,hour,year,month,day,electric
12566,1.5,2018,11,12,28.2
12567,1.5833333333333333,2018,11,12,30.0
12568,1.6666666666666667,2018,11,12,28.2
12569,1.75,2018,11,12,27.6
12570,1.8333333333333333,2018,11,12,28.8
12571,1.9166666666666667,2018,11,12,29.4
12572,2.0,2018,11,12,25.2
12573,2.083333333333333,2018,11,12,28.8
12574,2.1666666666666665,2018,11,12,35.4
12575,2.25,2018,11,12,22.8
12576,2.333333333333333,2018,11,12,27.0
12577,2.4166666666666665,2018,11,12,28.8
12578,2.5,2018,11,12,30.0
12579,2.583333333333333,2018,11,12,28.2
12580,2.6666666666666665,2018,11,12,45.0
12581,2.75,2018,11,12,73.2
12582,2.833333333333333,2018,11,12,43.8
12583,2.9166666666666665,2018,11,12,48.6
12584,3.0,2018,11,12,49.8
12585,3.083333333333333,2018,11,12,41.4
12586,3.1666666666666665,2018,11,12,37.8
12587,3.25,2018,11,12,40.8
12588,3.333333333333333,2018,11,12,43.8
12589,3.4166666666666665,2018,11,12,39.0
12590,3.5,2018,11,12,43.8
12591,3.583333333333333,2018,11,12,40.8
12592,3.6666666666666665,2018,11,12,39.0
12593,3.75,2018,11,12,36.0
12594,3.8333333333333335,2018,11,12,38.4
12595,3.9166666666666665,2018,11,12,40.8
12596,4.0,2018,11,12,39.6
12597,4.083333333333333,2018,11,12,41.4
12598,4.166666666666667,2018,11,12,39.6
12599,4.25,2018,11,12,36.6
12600,4.333333333333333,2018,11,12,23.4
12601,4.416666666666667,2018,11,12,22.8
12602,4.5,2018,11,12,28.8
12603,4.583333333333333,2018,11,12,27.6
12604,4.666666666666667,2018,11,12,26.4
12605,4.75,2018,11,12,33.6
12606,4.833333333333333,2018,11,12,25.8
12607,4.916666666666667,2018,11,12,24.0
12608,5.0,2018,11,12,53.4
12609,5.083333333333333,2018,11,12,33.0
12610,5.166666666666667,2018,11,12,29.4
12611,5.25,2018,11,12,29.4
12612,5.333333333333333,2018,11,12,31.2
12613,5.416666666666668,2018,11,12,27.6
12614,5.5,2018,11,12,41.4
12615,5.583333333333332,2018,11,12,46.2
12616,5.666666666666668,2018,11,12,49.2
12617,5.75,2018,11,12,34.2
12618,5.833333333333332,2018,11,12,34.2
12619,5.916666666666668,2018,11,12,49.8
12620,6.0,2018,11,12,39.6
12621,6.083333333333332,2018,11,12,64.2
12622,6.166666666666668,2018,11,12,61.8
12623,6.25,2018,11,12,52.2
12624,6.333333333333332,2018,11,12,53.4
12625,6.416666666666668,2018,11,12,51.0
